name,Unit annual PM2.5 emission rate (lb/MMBtu) 
name,PM25RT
7-Mile Ridge Wind Project,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Agrium Kenai Nitrogen Operations,
Alakanuk,
Alakanuk,
Alakanuk,
Alakanuk,
Alakanuk,
Allison Creek Hydro,
Ambler,0.31
Ambler,0.31
Ambler,0.31
Ambler,0.31
Anchorage 1,
Anchorage 1,
Anchorage 1,
Anchorage 1,0.001
Anchorage 1,0.001
Anchorage 1,
Anchorage 1,
Anchorage 1,0.31
Angoon,
Angoon,0.31
Angoon,0.31
Angoon,0.31
Aniak,0.31
Aniak,0.31
Aniak,
Aniak,
Aniak,
Aniak,0.31
Annex Creek,
Annex Creek,
Auke Bay,0.018
Auke Bay,0.018
Auke Bay,0.31
Aurora Energy LLC Chena,0.0089
Aurora Energy LLC Chena,0.0089
Aurora Energy LLC Chena,0.0089
Aurora Energy LLC Chena,0.0089
Barrow,
Barrow,0.001
Barrow,0.001
Barrow,0.001
Barrow,0.001
Barrow,0.001
Barrow,
Battery Energy Storage System,
Beaver Falls,
Beaver Falls,
Beaver Falls,
Beluga,0.001
Beluga,0.001
Beluga,0.001
Beluga,0.001
Beluga,0.001
Beluga,0.001
Beluga,
Bernice Lake,0.001
Bernice Lake,0.001
Bernice Lake,0.001
Bethel,0.31
Bethel,0.31
Bethel,0.31
Bethel,0.31
Bethel,0.31
Bethel,0.31
Black Bear Lake,
Blue Lake Hydro,
Blue Lake Hydro,
Blue Lake Hydro,
Blue Lake Hydro,
Blue Lake Hydro,
Bradley Lake,
Bradley Lake,
Brevig Mission,0.31
Brevig Mission,0.31
Brevig Mission,
Brevig Mission,0.31
Centennial,0.31
Centennial,
Chester Lake,
Chevak,
Chevak,0.31
Chevak,
Chevak,0.31
Chevak,
Chevak,0.31
Cooper Lake,
Cooper Lake,
Craig (AK),0.31
Craig (AK),
Craig (AK),0.31
Craig (AK),0.31
Craig (AK),0.31
Delta Power,0.018
Delta Wind Farm,
Delta Wind Farm,
Delta Wind Farm,
Dillingham,0.31
Dillingham,0.31
Dillingham,0.31
Dillingham,0.31
Dillingham,0.31
Dillingham,0.31
Dillingham,0.31
Dillingham,0.31
Dillingham,0.31
Dillingham,
Dillingham,
Dillingham,
Dillingham,
Dillingham,
Dillingham,
Dutch Harbor,
Dutch Harbor,0.31
Dutch Harbor,0.31
Dutch Harbor,0.31
Dutch Harbor,0.31
Dutch Harbor,0.31
Dutch Harbor,
Dutch Harbor,
Dutch Harbor,
Dutch Harbor,
Dutch Harbor,
Dutch Harbor,0.31
Dutch Harbor,0.31
Eielson AFB Central Heat & Power Plant,0.0089
Eielson AFB Central Heat & Power Plant,0.0089
Eielson AFB Central Heat & Power Plant,0.0089
Eielson AFB Central Heat & Power Plant,0.0089
Eielson AFB Central Heat & Power Plant,
Eielson AFB Central Heat & Power Plant,0.0089
Eielson AFB Central Heat & Power Plant,0.0089
Eielson AFB Central Heat & Power Plant,
Eielson AFB Central Heat & Power Plant,
Eielson AFB Central Heat & Power Plant,
Eielson AFB Central Heat & Power Plant,
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
Eklutna Generation Station,0.0004
